PWS ID,PWS Name,Contaminant,MCL,Location Has a Full Set of Results,Average Above MCL,Average Result,Facility ID,Facility Name,Sample Point ID,Sample Point Name,PWS Size,Facility Water Type,Sample Point Type,EPA Region,State
CT1666011,AQUARION WATER CO OF CT-TLWC WOODRICH,PFOA,0.0040 æg/L,Y,Y,0.0056,10001,Woodrich Village Wells,EP1,POE Sample Tap,S,GW,EP,Region 1,CT
CT1666011,AQUARION WATER CO OF CT-TLWC WOODRICH,PFOS,0.0040 æg/L,Y,Y,0.0056,10001,Woodrich Village Wells,EP1,POE Sample Tap,S,GW,EP,Region 1,CT
DE00A0323,SOUTH BETHANY,PFOS,0.0040 æg/L,Y,Y,0.0045,TP003,Dagsboro,DEP003,Treatment Plant Dagsboro,L,GW,EP,Region 3,DE
DE0000564,SUEZ WATER DELAWARE,PFOA,0.0040 æg/L,Y,Y,0.019,90002,Stanton Plant- South,DEP002,Entry Point to Dist. System,L,SW,EP,Region 3,DE
DE0000564,SUEZ WATER DELAWARE,PFOA,0.0040 æg/L,Y,Y,0.019,90003,Stanton Plant-  North,DEP003,Entry Point to Dist. System,L,SW,EP,Region 3,DE
DE0000569,STAGE VILLAGE MHC,PFOA,0.0040 æg/L,Y,Y,0.0069,SS001,STAGE VILLAGE MHC,DEP001,LOT 37047,S,GW,EP,Region 3,DE
DE0000569,STAGE VILLAGE MHC,PFOS,0.0040 æg/L,Y,Y,0.008,SS001,STAGE VILLAGE MHC,DEP001,LOT 37047,S,GW,EP,Region 3,DE
DE0000602,LEWES BOARD OF PUBLIC WORKS,PFOS,0.0040 æg/L,Y,Y,0.0072,TP002,LEWES BOARD OF PUBLIC WORKS,DEP002,TREATMENT PLANT TP002,S,GW,EP,Region 3,DE
DE0000630,"NEWARK WATER DEPARTMENT, DE",PFOA,0.0040 æg/L,Y,Y,0.023,33333,South Well Field Treatment Plant,SWF,SWF Lab SInk,L,GW,EP,Region 3,DE
DE0000630,"NEWARK WATER DEPARTMENT, DE",PFOS,0.0040 æg/L,Y,Y,0.0074,33333,South Well Field Treatment Plant,SWF,SWF Lab SInk,L,GW,EP,Region 3,DE
DE0000657,SMYRNA WATER DEPARTMENT,PFOA,0.0040 æg/L,Y,Y,0.0096,00822,High Street TP (Well TP #1),DEP001,High Street TP EPTDS,L,GW,EP,Region 3,DE
DE0000657,SMYRNA WATER DEPARTMENT,PFOS,0.0040 æg/L,Y,Y,0.0067,00822,High Street TP (Well TP #1),DEP001,High Street TP EPTDS,L,GW,EP,Region 3,DE
DE0000657,SMYRNA WATER DEPARTMENT,PFOA,0.0040 æg/L,Y,Y,0.0079,03983,Lake Como TP (Well TP #2A),DEP002,Lake Como TP EPTDS,L,GW,EP,Region 3,DE
DE0000663,WILMINGTON WATER DEPARTMENT,PFOA,0.0040 æg/L,Y,Y,0.0064,90001,Brandywine Plant,DEP001,Entry Point to Dist. System,L,SW,EP,Region 3,DE
DE0000663,WILMINGTON WATER DEPARTMENT,PFOA,0.0040 æg/L,Y,Y,0.0077,90002,Porter Plant,DEP002,Entry Point to Dist. System,L,SW,EP,Region 3,DE
FL1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",PFOA,0.0040 æg/L,Y,Y,0.0043,1,PLANT FOR WELL 1,001,WELL 1 ENTRY PT,S,GW,EP,Region 4,FL
FL1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",PFOS,0.0040 æg/L,Y,Y,0.01,1,PLANT FOR WELL 1,001,WELL 1 ENTRY PT,S,GW,EP,Region 4,FL
FL1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",PFOA,0.0040 æg/L,Y,Y,0.015,3,PLANT FOR WELL 3,003,WELL 3 ENTRY PT,S,GW,EP,Region 4,FL
FL1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",PFOA,0.0040 æg/L,Y,Y,0.028,4,PLANT FOR 2R,002R,WELL 2R ENTRY PT,S,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.011,00001,Plant 6,0525001,EP Tap @ Plant 6,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.011,00001,Plant 6,0525001,EP Tap @ Plant 6,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.0056,00007,West Pensacola,0525007,EP Tap @ West Pensacola,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.006,00007,West Pensacola,0525007,EP Tap @ West Pensacola,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.01,00008,W. & Avery,0525008,EP Tap @ W. & Avery,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.014,00008,W. & Avery,0525008,EP Tap @ W. & Avery,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.0098,00010,Lillian,0525010,EP Tap @ Lillian,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.0051,00010,Lillian,0525010,EP Tap @ Lillian,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,Hazard Index (HI),1 (unitless),Y,Y,4,00019,Airport North,0525019,EP Tap @ Airport North,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFHxS,0.01 æg/L,Y,Y,0.03,00019,Airport North,0525019,EP Tap @ Airport North,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.016,00019,Airport North,0525019,EP Tap @ Airport North,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.018,00019,Airport North,0525019,EP Tap @ Airport North,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.01,00020,Olive,0525020,EP Tap @ Olive,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.018,00020,Olive,0525020,EP Tap @ Olive,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.0044,00029,Carriage Hills,0525029,EP Tap @ Carriage Hills,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.0069,00029,Carriage Hills,0525029,EP Tap @ Carriage Hills,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.0064,00038,Royce Street,0525038,EP Tap @ Royce Street,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.0083,00038,Royce Street,0525038,EP Tap @ Royce Street,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.0073,00041,Tennant,0525041,EP Tap @ Tennant,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.014,00041,Tennant,0525041,EP Tap @ Tennant,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.0045,00042,McCrory,0525042,EP Tap @ McCrory,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,Hazard Index (HI),1 (unitless),Y,Y,3,00043,Spanish Trail,0525043,EP Tap @ Spanish Trail,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFHxS,0.01 æg/L,Y,Y,0.03,00043,Spanish Trail,0525043,EP Tap @ Spanish Trail,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.013,00043,Spanish Trail,0525043,EP Tap @ Spanish Trail,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.024,00043,Spanish Trail,0525043,EP Tap @ Spanish Trail,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.0099,00046,Muldoon/Avondale,0525045,EP Tap @ Muldoon/Avondale,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.017,00046,Muldoon/Avondale,0525045,EP Tap @ Muldoon/Avondale,L,GW,EP,Region 4,FL
FL1170525,EMERALD COAST UTILITIES AUTHORITY,PFOA,0.0040 æg/L,Y,Y,0.014,00047,W. 9 Mile,0525046,EP Tap @ W. 9 Mile,L,GW,EP,Region 4,FL
FL1170527,PEOPLES WATER SERVICE COMPANY,PFOA,0.0040 æg/L,Y,Y,0.012,00005,Well #5,0527005,EP Tap @ Well #5,L,GW,EP,Region 4,FL
FL1170527,PEOPLES WATER SERVICE COMPANY,PFOS,0.0040 æg/L,Y,Y,0.03,00005,Well #5,0527005,EP Tap @ Well #5,L,GW,EP,Region 4,FL
FL1170527,PEOPLES WATER SERVICE COMPANY,PFOA,0.0040 æg/L,Y,Y,0.0055,00009,Well #9,0527009,EP Tap @ Well #9,L,GW,EP,Region 4,FL
FL1170527,PEOPLES WATER SERVICE COMPANY,PFOS,0.0040 æg/L,Y,Y,0.018,00009,Well #9,0527009,EP Tap @ Well #9,L,GW,EP,Region 4,FL
FL1170718,EREC WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.0042,3,PLANT 7 - HWY 97A,WH007,WELL 7 ENTRY PT,S,GW,EP,Region 4,FL
FL1370655,"TALLAHASSEE, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.0077,18033,City Well #33,1370655033,CW #33 EP,L,GW,EP,Region 4,FL
FL1570042,BAGDAD-GARCON POINT WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.0055,3,WELL #3,003,WELL 3 ENTRY PT,S,GW,EP,Region 4,FL
FL1570671,"PACE WATER SYSTEM, INC.",PFOS,0.0040 æg/L,Y,Y,0.0081,00010,Tank #10,0671010,EP Tap @ Tank #10,L,GW,EP,Region 4,FL
FL2620208,PERRY WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.0066,3,WTP #3 (WELL 3),003,WTP #3 (WELL 3),S,GW,EP,Region 4,FL
FL3050834,MIMS WATER TREATMENT / NORTH BREVARD CO.,PFOA,0.0040 æg/L,Y,Y,0.0071,1,MIMS,AAA,Entry Point Sample Tap,S,GW,EP,Region 4,FL
FL3050834,MIMS WATER TREATMENT / NORTH BREVARD CO.,PFOS,0.0040 æg/L,Y,Y,0.014,1,MIMS,AAA,Entry Point Sample Tap,S,GW,EP,Region 4,FL
FL3310206,"VERO BEACH, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.0085,00001,Vero Beach WTP,0206001,Vero Beach WTP POE,L,GW,EP,Region 4,FL
FL3350346,"EUSTIS, CITY OF (4 WPS)",PFOS,0.0040 æg/L,Y,Y,0.0069,00001,Haselton WTP,0346001,Haselton WTP POE,L,GW,EP,Region 4,FL
FL3350346,"EUSTIS, CITY OF (4 WPS)",PFOS,0.0040 æg/L,Y,Y,0.0085,00003,CR 44A WTP,0346003,CR 44A WTP POE,L,GW,EP,Region 4,FL
FL3350745,"LEESBURG, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.0044,00001,Water TP,0745001,Water Treatment Plant POE,L,GW,EP,Region 4,FL
FL3350942,"VILLAGES OF LAKE-SUMTER - WTPS 1, 3, ; 5",PFOA,0.0040 æg/L,Y,Y,0.0067,00002,WTP #3 (Well #3),0942002,WTP #3 POE,L,GW,EP,Region 4,FL
FL3350942,"VILLAGES OF LAKE-SUMTER - WTPS 1, 3, ; 5",PFOS,0.0040 æg/L,Y,Y,0.0079,00002,WTP #3 (Well #3),0942002,WTP #3 POE,L,GW,EP,Region 4,FL
FL3350942,"VILLAGES OF LAKE-SUMTER - WTPS 1, 3, ; 5",PFOA,0.0040 æg/L,Y,Y,0.0066,00003,WTP #5 (well #5),0942003,WTP #5 POE,L,GW,EP,Region 4,FL
FL3350942,"VILLAGES OF LAKE-SUMTER - WTPS 1, 3, ; 5",PFOS,0.0040 æg/L,Y,Y,0.0076,00003,WTP #5 (well #5),0942003,WTP #5 POE,L,GW,EP,Region 4,FL
FL3351566,LEESBURG EAST (2WPS),PFOS,0.0040 æg/L,Y,Y,0.01,1,LAKE SQUARE MALL,WTP1,LAKE SQUARE MALL WP,S,GW,EP,Region 4,FL
FL3354781,HARBOR HILLS - 2 WTPS,PFOS,0.0040 æg/L,Y,Y,0.0054,1,HARBOR HILLS/NORTH PLANT 1,WTP1,HH#1=WP1 (NORTH WP),S,GW,EP,Region 4,FL
FL3354781,HARBOR HILLS - 2 WTPS,PFOS,0.0040 æg/L,Y,Y,0.0055,2,HARBOR HILLS/SOUTH PLANT,WTP2,HH#2=WP2 (SOUTH WP),S,GW,EP,Region 4,FL
FL3354883,LAKE UTILITY SERVICES INC NORTH (8 WPS),PFOA,0.0040 æg/L,Y,Y,0.0061,10001,Lake Louisa WTP,EP001,Sample Tap Post Treatment,L,GW,EP,Region 4,FL
FL3354883,LAKE UTILITY SERVICES INC NORTH (8 WPS),PFOS,0.0040 æg/L,Y,Y,0.0079,10001,Lake Louisa WTP,EP001,Sample Tap Post Treatment,L,GW,EP,Region 4,FL
FL3354883,LAKE UTILITY SERVICES INC NORTH (8 WPS),PFOS,0.0040 æg/L,Y,Y,0.0074,10002,Lake Ridge WTP,EP002,Sample Tap Post Treatment,L,GW,EP,Region 4,FL
FL3354883,LAKE UTILITY SERVICES INC NORTH (8 WPS),PFOS,0.0040 æg/L,Y,Y,0.005,10003,Clermont #1 WTP,EP003,Sample Tap Post Treatment,L,GW,EP,Region 4,FL
FL3354883,LAKE UTILITY SERVICES INC NORTH (8 WPS),PFOA,0.0040 æg/L,Y,Y,0.0097,10005,Vistas WTP,EP005,Sample Tap Post Treatment,L,GW,EP,Region 4,FL
FL3354883,LAKE UTILITY SERVICES INC NORTH (8 WPS),PFOS,0.0040 æg/L,Y,Y,0.014,10005,Vistas WTP,EP005,Sample Tap Post Treatment,L,GW,EP,Region 4,FL
FL3354883,LAKE UTILITY SERVICES INC NORTH (8 WPS),PFOS,0.0040 æg/L,Y,Y,0.0041,10006,Amber Hill WTP,EP006,Sample Tap Post Treatment,L,GW,EP,Region 4,FL
FL3354883,LAKE UTILITY SERVICES INC NORTH (8 WPS),PFOS,0.0040 æg/L,Y,Y,0.0054,10007,Clermont #2 WTP,EP007,Sample Tap Post Treatment,L,GW,EP,Region 4,FL
FL3354916,SOUTHLAKE UTILITIES,PFOS,0.0040 æg/L,Y,Y,0.0049,1,SOUTHLAKE UTILITIES,AAA,Entry Point Sample Tap,S,GW,EP,Region 4,FL
FL3420922,"OCALA, CITY OF (2 WTPS)",Hazard Index (HI),1 (unitless),Y,Y,4,00001,Ocala Water Plant,0922001,Ocala Water Plant POE,L,GW,EP,Region 4,FL
FL3420922,"OCALA, CITY OF (2 WTPS)",PFHxS,0.01 æg/L,Y,Y,0.04,00001,Ocala Water Plant,0922001,Ocala Water Plant POE,L,GW,EP,Region 4,FL
FL3420922,"OCALA, CITY OF (2 WTPS)",PFOA,0.0040 æg/L,Y,Y,0.0065,00001,Ocala Water Plant,0922001,Ocala Water Plant POE,L,GW,EP,Region 4,FL
FL3420922,"OCALA, CITY OF (2 WTPS)",PFOS,0.0040 æg/L,Y,Y,0.039,00001,Ocala Water Plant,0922001,Ocala Water Plant POE,L,GW,EP,Region 4,FL
FL3640286,"DELAND, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.0081,36402861,Water Treatment Plant #1,EP1,POE WTP #1,L,GW,EP,Region 4,FL
FL3640287,DELTONA WATER,PFOA,0.0040 æg/L,Y,Y,0.0043,00003,Normandy WTP,0287003,Treatment Plant POE,L,GW,EP,Region 4,FL
FL3640287,DELTONA WATER,PFOS,0.0040 æg/L,Y,Y,0.0085,00003,Normandy WTP,0287003,Treatment Plant POE,L,GW,EP,Region 4,FL
FL3640287,DELTONA WATER,PFOS,0.0040 æg/L,Y,Y,0.0061,00011,Saxon WTP,0287011,Treatment Plant POE,L,GW,EP,Region 4,FL
FL3640287,DELTONA WATER,PFOS,0.0040 æg/L,Y,Y,0.0061,00012,Sagamore WTP,0287012,Treatment Plant POE,L,GW,EP,Region 4,FL
FL3640287,DELTONA WATER,PFOS,0.0040 æg/L,Y,Y,0.0088,00015,Wellington WTP,0287015,Treatment Plant POE,L,GW,EP,Region 4,FL
FL3641336,VC/SOUTHWEST WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.0066,FL3641336,VC/Southwest Interconnect,1,POE-Glen Abbey (WTP-1A),L,GW,EP,Region 4,FL
FL3641336,VC/SOUTHWEST WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.0064,FL3641336,VC/Southwest Interconnect,1,POE-Glen Abbey (WTP-1A),L,GW,EP,Region 4,FL
FL3641336,VC/SOUTHWEST WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.0051,FL3641336,VC/Southwest Interconnect,3,POE-Four Towns (WTP-1C),L,GW,EP,Region 4,FL
FL3641336,VC/SOUTHWEST WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.0082,FL3641336,VC/Southwest Interconnect,3,POE-Four Towns (WTP-1C),L,GW,EP,Region 4,FL
FL3641336,VC/SOUTHWEST WATER SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.012,FL3641336,VC/Southwest Interconnect,4,POE-Highland Country (WTP-1D),L,GW,EP,Region 4,FL
FL3641336,VC/SOUTHWEST WATER SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.022,FL3641336,VC/Southwest Interconnect,4,POE-Highland Country (WTP-1D),L,GW,EP,Region 4,FL
FL3644328,VC/ENTERPRISE,PFOA,0.0040 æg/L,Y,Y,0.0073,10001,VC/Enterprise Connection,EP001,POE - Enterprise,S,GW,EP,Region 4,FL
FL3644328,VC/ENTERPRISE,PFOS,0.0040 æg/L,Y,Y,0.0076,10001,VC/Enterprise Connection,EP001,POE - Enterprise,S,GW,EP,Region 4,FL
FL4060254,"DEERFIELD BEACH, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.009,00001,West Water Plant,POE,WTP Sink in Laboratory,L,GW,EP,Region 4,FL
FL4060573,"HALLANDALE BEACH, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.02,00001,Water TP,POE,WTP Lab,L,GW,EP,Region 4,FL
FL4060642,"HOLLYWOOD, CITY OF",PFOA,0.0040 æg/L,Y,Y,0.0052,00001,City of Hollywood,642001,Water Treatment Plant - POE,L,GW,EP,Region 4,FL
FL4060642,"HOLLYWOOD, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.019,00001,City of Hollywood,642001,Water Treatment Plant - POE,L,GW,EP,Region 4,FL
FL4060787,"LAUDERHILL, CITY OF",PFOA,0.0040 æg/L,Y,Y,0.01,00001,City of Lauderhill Water Treatment Plant,0787001,Water Treatment Plant POE,L,GW,EP,Region 4,FL
FL4060787,"LAUDERHILL, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.035,00001,City of Lauderhill Water Treatment Plant,0787001,Water Treatment Plant POE,L,GW,EP,Region 4,FL
FL4061083,"PEMBROKE PINES, CITY OF",PFOA,0.0040 æg/L,Y,Y,0.012,00001,Water TP,1083001,WTP Lab-Finished Tap,L,GW,EP,Region 4,FL
FL4061083,"PEMBROKE PINES, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.029,00001,Water TP,1083001,WTP Lab-Finished Tap,L,GW,EP,Region 4,FL
FL4061129,"POMPANO BEACH, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.018,00001,Water TP,1129001,1205 NE 5th Avenue,L,GW,EP,Region 4,FL
FL4061410,SUNRISE SPRINGTREE,PFOA,0.0040 æg/L,Y,Y,0.0048,08001,Springtree WTP,08001,Plant Eye Wash,L,GW,EP,Region 4,FL
FL4061410,SUNRISE SPRINGTREE,PFOS,0.0040 æg/L,Y,Y,0.01,08001,Springtree WTP,08001,Plant Eye Wash,L,GW,EP,Region 4,FL
FL4061517,"ROYAL WATERWORKS, INC",PFOA,0.0040 æg/L,Y,Y,0.0049,1,ROYAL UTILITY COMPANY,POE,Finished Water Sample Tap @ POE,S,GW,EP,Region 4,FL
FL4061517,"ROYAL WATERWORKS, INC",PFOS,0.0040 æg/L,Y,Y,0.017,1,ROYAL UTILITY COMPANY,POE,Finished Water Sample Tap @ POE,S,GW,EP,Region 4,FL
FL4061584,"COCONUT CREEK, CITY OF",PFOA,0.0040 æg/L,Y,Y,0.01,00001,Consecutive Connection,1584001,Connection w/ BCWWS @ Wiles Road,L,GW,EP,Region 4,FL
FL4061584,"COCONUT CREEK, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.026,00001,Consecutive Connection,1584001,Connection w/ BCWWS @ Wiles Road,L,GW,EP,Region 4,FL
FL4130077,BAL HARBOUR VILLAGE,PFOA,0.0040 æg/L,Y,Y,0.0074,20001,Connection To Miami Dade County,EP1,Sample Tap @ Miami Dade County meter pipe assbly.,S,GW,EP,Region 4,FL
FL4130077,BAL HARBOUR VILLAGE,PFOS,0.0040 æg/L,Y,Y,0.029,20001,Connection To Miami Dade County,EP1,Sample Tap @ Miami Dade County meter pipe assbly.,S,GW,EP,Region 4,FL
FL4130089,"BAY HARBOR ISLANDS, TOWN OF",PFOS,0.0040 æg/L,Y,Y,0.014,1,Entry Point Facility,POE,Entry Point Sample Tap,S,GW,EP,Region 4,FL
FL4130604,"HIALEAH, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.014,00002,Miami Dade (Preston TP),POE2,1100 W. 2nd Avenue,L,GW,EP,Region 4,FL
FL4130871,MDWASA - MAIN SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.0047,00001,Alexander Orr WTP,0871001,Alexander Orr WTP POE,L,GW,EP,Region 4,FL
FL4130871,MDWASA - MAIN SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.012,00001,Alexander Orr WTP,0871001,Alexander Orr WTP POE,L,GW,EP,Region 4,FL
FL4130871,MDWASA - MAIN SYSTEM,PFOA,0.0040 æg/L,Y,Y,0.0046,00002,Preston WTP,0871002,Preston WTP POE,L,GW,EP,Region 4,FL
FL4130871,MDWASA - MAIN SYSTEM,PFOS,0.0040 æg/L,Y,Y,0.014,00002,Preston WTP,0871002,Preston WTP POE,L,GW,EP,Region 4,FL
FL4130901,"MIAMI BEACH, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.012,00001,Consecutive Connection,0901002,36th St Chlorinator/ Distribution Entry Point,L,GW,EP,Region 4,FL
FL4130970,"NORTH BAY VILLAGE, CITY OF",PFOA,0.0040 æg/L,Y,Y,0.0099,1,Entry Point Facility,DIS,Sample Tap @ Master Meter,S,GW,EP,Region 4,FL
FL4130970,"NORTH BAY VILLAGE, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.03,1,Entry Point Facility,DIS,Sample Tap @ Master Meter,S,GW,EP,Region 4,FL
FL4130977,"NORTH MIAMI, CITY OF",PFOA,0.0040 æg/L,Y,Y,0.012,00001,Winson WTP,0977001,Winson WTP POE,L,GW,EP,Region 4,FL
FL4130977,"NORTH MIAMI, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.045,00001,Winson WTP,0977001,Winson WTP POE,L,GW,EP,Region 4,FL
FL4130977,"NORTH MIAMI, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.012,00004,Miami-Dade Connection,0977004,Entry Point to Dist. System,L,GW,EP,Region 4,FL
FL4131001,"OPA LOCKA, CITY OF",PFOS,0.0040 æg/L,Y,Y,0.01,00001,Consecutive Connection,1001001,Connection w/ Opa Locka Water & Sewer,L,GW,EP,Region 4,FL
FL4134357,FKAA J. ROBERT DEAN  W.T.P.,PFOA,0.0040 æg/L,Y,Y,0.0091,00001,J. Robert Dean WTP,4357001,Entry Point to Dist. System,L,GW,EP,Region 4,FL
FL4134357,FKAA J. ROBERT DEAN  W.T.P.,PFOS,0.0040 æg/L,Y,Y,0.046,00001,J. Robert Dean WTP,4357001,Entry Point to Dist. System,L,GW,EP,Region 4,FL
FL4500145,BOYNTON BEACH PWS,PFOA,0.0040 æg/L,Y,Y,0.0085,00002,East Plant,0145002,East Plant POE,L,GW,EP,Region 4,FL
FL4500145,BOYNTON BEACH PWS,PFOS,0.0040 æg/L,Y,Y,0.025,00002,East Plant,0145002,East Plant POE,L,GW,EP,Region 4,FL
FL4500773,LAKE WORTH BEACH UTILITIES,PFOS,0.0040 æg/L,Y,Y,0.012,45007,City OF Lake Worth,1,POE,L,GW,EP,Region 4,FL
FL4500784,LANTANA WATER TREATMENT PLANT,PFOA,0.0040 æg/L,Y,Y,0.011,1,LANTANA WATER PLANT,MRT,Entry Point Sample Tap,S,GW,EP,Region 4,FL
FL4500784,LANTANA WATER TREATMENT PLANT,PFOS,0.0040 æg/L,Y,Y,0.033,1,LANTANA WATER PLANT,MRT,Entry Point Sample Tap,S,GW,EP,Region 4,FL
FL4501438,"TEQUESTA PWS, VILLAGE OF",PFOS,0.0040 æg/L,Y,Y,0.011,00001,Tequesta WTP,1438001,Tequesta WTP POE,L,GW,EP,Region 4,FL
FL4504903,SEMINOLE IMPROVEMENT DISTRICT,PFOS,0.0040 æg/L,Y,Y,0.009,1,SID MASTER METER,POE,Entry Point Sample Tap,S,GW,EP,Region 4,FL
FL4560490,FT. PIERCE UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.0089,00001,Water TP,0490001,Treatment Plant POE,L,GW,EP,Region 4,FL
FL4560490,FT. PIERCE UTILITIES AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.0089,00001,Water TP,0490002,25th Street Point of Entry,L,GW,EP,Region 4,FL
FL4560971,NORTH HUTCHINSON ISLAND,PFOS,0.0040 æg/L,Y,Y,0.011,10001,Little Jim master meter,EP001,Little Jim master meter,S,GW,EP,Region 4,FL
FL5110142,IMMOKALEE WATER,PFOS,0.0040 æg/L,Y,Y,0.009,00001,Jerry V Warden WTP,0142001,"S, 9th WTP POE",L,GW,EP,Region 4,FL
FL5110142,IMMOKALEE WATER,PFOS,0.0040 æg/L,Y,Y,0.0077,00002,Carson WTP,0142002,Carson WTP POE,L,GW,EP,Region 4,FL
FL5110142,IMMOKALEE WATER,PFOS,0.0040 æg/L,Y,Y,0.0077,00003,Airport WTP,0142003,Airport WTP POE,L,GW,EP,Region 4,FL
FL5110198,NAPLES WATER DEPT,PFOS,0.0040 æg/L,Y,Y,0.0085,00001,Water TP,030118501,Water Treatment Plant POE,L,GW,EP,Region 4,FL
FL5360172,FLORIDA GOVERNMENTAL UTILITY AUTHORITY,PFOS,0.0040 æg/L,Y,Y,0.012,00001,WTP #1,0172001,WTP #1 POE,L,GW,EP,Region 4,FL
FL6290327,CITY OF TAMPA WATER DEPARTMENT,PFOS,0.0040 æg/L,Y,Y,0.0057,08001,David L. Tippin WTF,001,Entry Point to Dist. System,L,SW,EP,Region 4,FL
